id;word;description;image_url;category_id
1;Cuban Peso Peso Convertible;USB visionary;integrated Executive invoice;1
2;Incredible Legacy Functionality;Communications neural-net;Borders deposit mobile;2
3;yellow;Pizza;Russian Federation;3
4;Integration;override payment;deposit Mozambique Personal Loan Account;4
5;Executive engineer;green navigate;Optimization Auto Loan Account Nicaragua;5
6;Syrian Pound Avon magenta;redundant Global;intranet syndicate deposit;6
7;Soft Communications;Associate;motivating copy;7
8;Concrete Michigan deposit;dynamic white interface;Auto Loan Account;8
9;Switchable withdrawal;Rwanda Franc Vietnam Idaho;Ergonomic Ergonomic;9
10;experiences;Sleek payment sensor;Chips action-items;10
